36024_at,lacrimal proline rich protein
36774_f_at,proline-rich protein BstNI subfamily 1
36775_f_at,proline-rich protein BstNI subfamily 2
32885_f_at,proline-rich protein BstNI subfamily 2
32458_f_at," Cluster Incl X07704:H.sapiens PRB4 gene, allele M /cds=(0,706) /gb=X07704 /gi=1542884 /ug=Hs.103972 /len=712 "
32457_f_at,proline-rich protein BstNI subfamily 4
325_s_at,Prolactin-Induced Protein
37149_s_at,chemokine (C-C motif) receptor 2
35798_at,Cluster Incl W25936:15b5 Homo sapiens cDNA /gb=W25936 /gi=1306059 /ug=Hs.6789 /len=738
37826_at," Cluster Incl AF020761:Homo sapiens stimulator of Fe transport mRNA, complete cds /cds=(85,1101) /gb=AF020761 /gi=2738924 /ug=Hs.129683 /len=1404 "
38754_at," Cluster Incl AI557295:PT2.1_16_D02.r Homo sapiens cDNA, 3 end /clone_end=3'' /gb=AI557295 /gi=4489658 /ug=Hs.8603 /len=847'' "
36423_at," Cluster Incl W47047:zc38g10.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-324642 /clone_end=5'' /gb=W47047 /gi=1331686 /ug=Hs.166194 /len=441'' "
964_at,X95715 /FEATURE=cds /DEFINITION=HSARAPROT H.sapiens mRNA for anthracycline resistance associated protein
35341_at,ring finger protein 15
37145_at,granulysin
973_at,serum/glucocorticoid regulated kinase
408_at,"GRO1 oncogene (melanoma growth stimulating activity, alpha)"
1369_s_at," M28130 /FEATURE=mRNA /DEFINITION=HUMIL8A Human interleukin 8 (IL8) gene, complete cds "
35372_r_at,interleukin 8
35410_at,"small inducible cytokine subfamily B (Cys-X-Cys), member 6 (granulocyte chemotactic protein 2)"
40385_at,"small inducible cytokine subfamily A (Cys-Cys), member 20"
38117_at,"SEC24 (S. cerevisiae) related gene family, member C"
39398_s_at,tubulin-specific chaperone d
40432_at," Cluster Incl AA522891:ni41b12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-979391 /clone_end=3'' /gb=AA522891 /gi=2263603 /ug=Hs.164036 /len=572'' "
1241_at,"protein tyrosine phosphatase type IVA, member 2"
36179_at,mitogen-activated protein kinase-activated protein kinase 2
38730_at,KIAA0864 protein
34279_at,Cluster Incl AL050141:Homo sapiens mRNA; cDNA DKFZp586O031 (from clone DKFZp586O031) /cds=UNKNOWN /gb=AL050141 /gi=4884352 /ug=Hs.227834 /len=2353
33889_s_at,DiGeorge syndrome critical region gene 2
39358_at,nuclear receptor co-repressor 2
31816_at," Cluster Incl X55079:Human lysosomal alpha-glucosidase gene exon 1 /cds=(440,3298) /gb=X55079 /gi=31610 /ug=Hs.1437 /len=3846 "
120_at,"integrin, alpha 1"
41214_at,"ribosomal protein S4, Y-linked"
182_at,"inositol 1,4,5-triphosphate receptor, type 3"
37343_at,"inositol 1,4,5-triphosphate receptor, type 3"
32586_at,KIAA0217 protein
375_at,glutathione S-transferase theta 1
37222_at,glutathione S-transferase theta 1
31804_f_at," Cluster Incl X78283:H.sapiens mRNA for aryl sulfotransferase (ST1A3) /cds=(159,1046) /gb=X78283 /gi=758596 /ug=Hs.142 /len=1240 "
32317_s_at,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2"
497_at,"ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)"
